domain,pages,urls,hosts,%pages,%urls,label
blogspot.com,19780455,19755134,246742,0.902419,0.906434,-1
wikipedia.org,3899574,3856416,372,0.177905,0.176946,1
wordpress.org,3330102,3329363,218,0.151925,0.152763,-1
google.com,1839088,1803072,1809,0.083902,0.082731,1
wiktionary.org,1607921,1596057,195,0.073356,0.073233,-1
europa.eu,1556837,1551415,731,0.071026,0.071184,-1
oclc.org,1495406,1488924,635,0.068223,0.068317,-1
made-in-china.com,1306394,1300407,14971,0.0596,0.059667,-1
aif.ru,1091748,1091655,114,0.049807,0.050089,-1
apple.com,978593,970153,102,0.044645,0.044514,-1
hh.ru,960920,958755,3569,0.043839,0.043991,-1
qq.com,815785,814765,1006,0.037218,0.037384,-1
rakuten.co.jp,808679,804683,240,0.036893,0.036922,-1
nih.gov,796095,791971,291,0.036319,0.036338,1
exblog.jp,734058,734032,10574,0.033489,0.03368,-1
pixnet.net,726735,724013,10966,0.033155,0.03322,-1
wikimedia.org,708476,694668,134,0.032322,0.031874,-1
wikisource.org,686244,674136,85,0.031308,0.030932,-1
microsoft.com,639205,624974,176,0.029162,0.028676,1
ox.ac.uk,634415,614570,1236,0.028943,0.028199,1
spydus.co.uk,620375,620374,54,0.028303,0.028465,-1
app.link,597697,597654,4048,0.027268,0.027422,-1
noblenet.org,592844,592843,26,0.027047,0.027202,-1
indiatimes.com,589071,586931,87,0.026874,0.02693,-1
amazonaws.com,588879,588388,4560,0.026866,0.026997,-1
spb.ru,585915,583123,3149,0.02673,0.026756,-1
airbnb.com,541856,541557,18,0.02472,0.024849,-1
nii.ac.jp,527465,527273,683,0.024064,0.024193,-1
alibaba.com,504793,504545,28961,0.02303,0.02315,-1
berkeley.edu,502282,501739,1408,0.022915,0.023022,1
nasa.gov,494274,491674,401,0.02255,0.02256,1
googlesource.com,480793,480618,56,0.021935,0.022052,1
netlify.app,478768,478496,17666,0.021842,0.021955,-1
wisc.edu,463649,462946,2115,0.021152,0.021242,1
web.app,449481,449430,10752,0.020506,0.020621,-1
libsyn.com,444502,444302,3990,0.020279,0.020386,-1
mail.ru,434680,432572,72,0.019831,0.019848,-1
mit.edu,412283,410143,1241,0.018809,0.018819,1
debian.org,411258,409970,89,0.018762,0.018811,-1
linternaute.com,405535,395168,14,0.018501,0.018132,-1
unam.mx,384003,382990,1346,0.017519,0.017573,-1
yandex.ru,382268,381870,129,0.01744,0.017522,-1
24tv.ua,381418,380815,45,0.017401,0.017473,-1
mozilla.org,373851,372514,57,0.017056,0.017092,-1
oracle.com,370664,361221,58,0.01691,0.016574,-1
nsw.gov.au,368321,367498,2482,0.016803,0.016862,-1
sina.com.cn,364690,363771,349,0.016638,0.016691,-1
noaa.gov,360939,360725,287,0.016467,0.016551,1
adobe.com,360877,352743,110,0.016464,0.016185,-1
godaddy.com,358683,343405,431,0.016364,0.015757,-1
uol.com.br,357558,356224,493,0.016312,0.016345,-1
youtube.com,346960,344346,11,0.015829,0.0158,-1
voanews.com,341842,340267,13,0.015595,0.015613,-1
worldbank.org,340176,339529,89,0.015519,0.015579,-1
hatenablog.com,338057,337969,3200,0.015423,0.015507,-1
yahoo.co.jp,337128,334645,132,0.01538,0.015355,-1
line.me,329069,324146,76,0.015013,0.014873,-1
github.io,327863,326380,33911,0.014958,0.014975,1
yale.edu,326214,325419,858,0.014882,0.014931,1
free.fr,322481,322134,4231,0.014712,0.014781,-1
shein.com,322203,321997,45,0.014699,0.014774,-1
udn.com,320357,319932,59,0.014615,0.01468,-1
ning.com,313598,313032,623,0.014307,0.014363,-1
github.com,301968,297839,41,0.013776,0.013666,1
wixsite.com,296575,290601,88429,0.01353,0.013334,-1
substack.com,292141,287493,48941,0.013328,0.013191,-1
bing.com,290203,289883,26,0.01324,0.013301,-1
cornell.edu,289009,287737,796,0.013185,0.013202,1
wikidot.com,287476,287014,14203,0.013115,0.013169,-1
stanford.edu,284007,283405,1627,0.012957,0.013004,1
usda.gov,281485,278602,147,0.012842,0.012783,1
duke.edu,278884,278290,713,0.012723,0.012769,1
weebly.com,271097,266932,77340,0.012368,0.012248,-1
usp.br,270931,269153,1149,0.01236,0.01235,-1
impress.co.jp,269711,268720,42,0.012305,0.01233,-1
salesforce.com,269408,268497,55,0.012291,0.01232,-1
ca.gov,268009,266253,1132,0.012227,0.012217,1
ubc.ca,267395,266896,1574,0.012199,0.012246,-1
rambler.ru,266885,266183,38,0.012176,0.012213,-1
atlassian.net,265955,265004,5761,0.012133,0.012159,-1
banggood.com,265607,265440,54,0.012117,0.012179,-1
amazon.com,262154,254349,97,0.01196,0.01167,-1
rbc.ru,261968,261621,102,0.011951,0.012004,-1
sohu.com,255494,255007,183,0.011656,0.011701,-1
mathworks.com,255103,254225,29,0.011638,0.011665,-1
163.com,250397,250030,535,0.011424,0.011472,-1
tistory.com,249860,249825,2548,0.011399,0.011463,-1
blog.jp,246779,246663,1932,0.011258,0.011318,-1
muni.cz,241737,241405,562,0.011028,0.011077,-1
craigslist.org,240073,239862,665,0.010953,0.011006,-1
utoronto.ca,239646,239166,974,0.010933,0.010974,-1
samsung.com,235545,233412,61,0.010746,0.01071,-1
illinois.edu,234987,234471,1694,0.010721,0.010758,1
ndl.go.jp,233653,233325,20,0.01066,0.010706,-1
cocolog-nifty.com,226030,225755,1703,0.010312,0.010358,-1
iheart.com,225832,225418,964,0.010303,0.010343,-1
mpg.de,224016,223428,530,0.01022,0.010252,-1
opera.com,223863,222098,28,0.010213,0.010191,-1
admin.ch,223528,208997,327,0.010198,0.00959,-1
appspot.com,222624,221182,1157,0.010156,0.010149,-1
ubuntu.com,222331,221559,142,0.010143,0.010166,-1
harvard.edu,222222,221063,754,0.010138,0.010143,1
upenn.edu,220443,219800,677,0.010057,0.010085,1
freelancer.com,220217,220088,9,0.010047,0.010098,-1
shopify.com,218276,215408,20,0.009958,0.009884,-1
archive.org,215667,192970,796,0.009839,0.008854,-1
ibm.com,215131,213151,104,0.009815,0.00978,-1
over-blog.com,214758,214277,1719,0.009798,0.009832,-1
af.mil,212886,212703,335,0.009712,0.00976,-1
porsche.com,212521,211280,161,0.009696,0.009694,-1
canalblog.com,210869,210328,1559,0.00962,0.009651,-1
afternic.com,208966,199302,5,0.009533,0.009145,-1
hotels.com,208779,208407,35,0.009525,0.009562,-1
sap.com,208262,194884,48,0.009501,0.008942,-1
krakow.pl,207082,206315,1214,0.009447,0.009466,-1
hatenablog.jp,204606,204559,2555,0.009334,0.009386,-1
usu.edu,201493,199714,84,0.009192,0.009164,1
cuni.cz,200724,199935,754,0.009157,0.009174,-1
uk.com,200178,192398,5221,0.009132,0.008828,-1
cloudfront.net,199005,198042,1858,0.009079,0.009087,-1
gov.ru,198296,197315,470,0.009047,0.009053,-1
redhat.com,197152,195886,46,0.008994,0.008988,-1
android.com,195412,189952,11,0.008915,0.008716,-1
cam.ac.uk,194780,193856,846,0.008886,0.008895,1
usgs.gov,189866,189464,101,0.008662,0.008693,1
workplace.com,188902,188760,291,0.008618,0.008661,-1
psu.edu,186946,183515,575,0.008529,0.00842,1
bibliocommons.com,186576,186181,335,0.008512,0.008543,-1
bnf.fr,177176,177018,50,0.008083,0.008122,-1
onet.pl,176630,175822,47,0.008058,0.008067,-1
fedoraproject.org,176020,175738,73,0.00803,0.008063,-1
nist.gov,175987,175364,88,0.008029,0.008046,1
un.org,175817,175067,242,0.008021,0.008033,-1
hindustantimes.com,175558,174920,14,0.008009,0.008026,-1
washington.edu,174322,173261,378,0.007953,0.00795,1
itmedia.co.jp,171201,170201,39,0.00781,0.007809,-1
org.ru,169636,164916,466,0.007739,0.007567,-1
princeton.edu,169054,167003,520,0.007713,0.007663,1
ub.edu,168922,164590,110,0.007707,0.007552,1
kayak.com,168854,168793,17,0.007703,0.007745,-1
narod.ru,168468,168414,10483,0.007686,0.007727,-1
kremlin.ru,166712,165787,24,0.007606,0.007607,-1
ntu.edu.tw,164907,164569,519,0.007523,0.007551,-1
seesaa.net,161429,160284,1984,0.007365,0.007354,-1
foursquare.com,161125,160997,21,0.007351,0.007387,-1
docomo.ne.jp,156735,156026,88,0.007151,0.007159,-1
archlinux.org,156131,155779,22,0.007123,0.007148,-1
uefa.com,153249,152266,25,0.006991,0.006986,-1
hatena.ne.jp,152722,148800,27,0.006967,0.006827,-1
hypotheses.org,152269,152147,1666,0.006947,0.006981,-1
yorku.ca,149121,148429,479,0.006803,0.00681,-1
pchome.com.tw,148643,148497,18,0.006781,0.006814,-1
army.mil,148389,147521,280,0.00677,0.006769,-1
uni-heidelberg.de,147395,144396,302,0.006724,0.006625,-1
wikiquote.org,146925,143298,100,0.006703,0.006575,-1
umn.edu,146463,145864,1124,0.006682,0.006693,1
intuit.com,145094,144701,85,0.006619,0.006639,-1
arizona.edu,145014,142369,1228,0.006616,0.006532,1
jd.com,145013,144488,2329,0.006616,0.00663,-1
ru-land.com,142630,142396,12,0.006507,0.006534,-1
elpais.com,142370,140938,29,0.006495,0.006467,-1
wikibooks.org,142004,139294,122,0.006478,0.006391,-1
sapo.pt,141847,140980,93,0.006471,0.006469,-1
chinadaily.com.cn,141828,141637,109,0.00647,0.006499,-1
livejournal.com,141161,141156,1953,0.00644,0.006477,-1
obozrevatel.com,141062,140643,28,0.006435,0.006453,-1
hse.ru,139830,137442,479,0.006379,0.006306,-1
nicovideo.jp,139786,139610,35,0.006377,0.006406,-1
unibo.it,139536,138716,315,0.006366,0.006365,-1
hateblo.jp,139234,139210,1647,0.006352,0.006387,-1
globalvoices.org,138602,137090,71,0.006323,0.00629,-1
utexas.edu,138577,138172,648,0.006322,0.00634,1
ceskatelevize.cz,138431,137890,17,0.006315,0.006327,-1
wikinews.org,137732,135089,36,0.006284,0.006198,-1
cern.ch,137615,137484,405,0.006278,0.006308,-1
err.ee,137407,136960,27,0.006269,0.006284,-1
google.cn,136705,133699,27,0.006237,0.006135,1
freebsd.org,136369,136163,90,0.006221,0.006248,-1
elespanol.com,135672,135266,13,0.00619,0.006206,-1
texas.gov,135595,134955,268,0.006186,0.006192,1
ufsc.br,134827,132890,1690,0.006151,0.006097,-1
aliyun.com,134706,132697,118,0.006146,0.006089,-1
livedoor.biz,134433,134377,650,0.006133,0.006166,-1
hawaii.edu,133777,133466,309,0.006103,0.006124,1
wix.com,133645,131864,40,0.006097,0.00605,0
podbean.com,132784,132449,18246,0.006058,0.006077,-1
apache.org,132197,131781,359,0.006031,0.006047,-1
academic.ru,132021,131925,1051,0.006023,0.006053,-1
shop-pro.jp,131396,131069,3498,0.005995,0.006014,-1
hugedomains.com,129845,113843,1,0.005924,0.005224,-1
purdue.edu,129663,129124,232,0.005915,0.005925,1
teachable.com,129623,129400,4337,0.005914,0.005937,-1
frontiersin.org,129433,129202,13,0.005905,0.005928,-1
walla.co.il,129330,129190,156,0.0059,0.005928,-1
univie.ac.at,129252,128921,1235,0.005897,0.005915,-1
libretexts.org,129195,127985,35,0.005894,0.005872,-1
kb.se,129119,126491,42,0.005891,0.005804,-1
iu.edu,128288,127998,595,0.005853,0.005873,1
siemens.com,127994,125548,82,0.005839,0.005761,-1
wa.gov,127816,126643,286,0.005831,0.005811,1
dict.cc,127624,127531,202,0.005822,0.005852,-1
spotify.com,127561,127167,29,0.00582,0.005835,0
azurewebsites.net,126146,125642,4420,0.005755,0.005765,-1
t.me,125871,124106,2,0.005742,0.005694,-1
chinaz.com,125759,124914,61,0.005737,0.005731,-1
msu.edu,125347,124969,744,0.005719,0.005734,1
iastate.edu,125018,124833,582,0.005704,0.005728,1
interfax.com.ua,124866,115330,4,0.005697,0.005292,0
ria.ru,124501,123247,28,0.00568,0.005655,-1
ethz.ch,124381,123738,632,0.005674,0.005678,-1
canada.ca,124356,122994,162,0.005673,0.005643,-1
tradingview.com,124105,124045,21,0.005662,0.005692,-1
people.com.cn,123758,123725,144,0.005646,0.005677,-1
telegram.org,123527,121721,19,0.005636,0.005585,-1
uscourts.gov,123424,123310,570,0.005631,0.005658,1
hu-berlin.de,122930,122309,235,0.005608,0.005612,-1
sch.gr,121349,121157,937,0.005536,0.005559,-1
ufl.edu,120992,120127,1019,0.00552,0.005512,1
kit.edu,120801,120495,653,0.005511,0.005529,1
iol.pt,120231,119962,17,0.005485,0.005504,-1
columbia.edu,120174,119803,478,0.005483,0.005497,1
victoriassecret.com,120050,100454,17,0.005477,0.004609,-1
statcounter.com,119793,110030,73,0.005465,0.005049,-1
weblio.jp,119737,119689,26,0.005463,0.005492,-1
msu.ru,119653,119386,508,0.005459,0.005478,-1
poznan.pl,119436,119157,711,0.005449,0.005467,-1
nt.gov.au,118748,118444,55,0.005417,0.005435,-1
rutgers.edu,118701,118341,1005,0.005415,0.00543,1
gouv.qc.ca,117229,116932,976,0.005348,0.005365,-1
vk.com,117035,116270,33,0.005339,0.005335,-1
uab.cat,116909,116417,121,0.005334,0.005342,-1
blog.hu,116747,116747,956,0.005326,0.005357,-1
unlp.edu.ar,116443,116319,382,0.005312,0.005337,-1
ucsb.edu,115924,115821,800,0.005289,0.005314,1
gva.es,114833,110420,218,0.005239,0.005066,-1
ucla.edu,114537,114302,1042,0.005225,0.005245,1
buzzsprout.com,114484,114206,7247,0.005223,0.00524,-1
trip.com,114407,114222,47,0.005219,0.005241,-1
hp.com,114200,111980,74,0.00521,0.005138,-1
st-andrews.ac.uk,114184,113488,400,0.005209,0.005207,1
umd.edu,113950,113627,735,0.005199,0.005214,1
anu.edu.au,113510,112459,201,0.005179,0.00516,-1
ugr.es,113389,112617,520,0.005173,0.005167,-1
com.ru,113388,113118,1253,0.005173,0.00519,-1
